service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BU,1,1,1,1,1,0,0,20260406,20260719
BexpU,1,1,1,1,1,0,0,20260406,20260719
DU,1,1,1,1,1,0,0,20260406,20260719
FU,1,1,1,1,1,0,0,20260406,20260719
EU,1,1,1,1,1,0,0,20260406,20260719
AU,1,1,1,1,1,0,0,20260406,20260719
CU,1,1,1,1,1,0,0,20260406,20260719
BS,0,0,0,0,0,1,0,20260406,20260719
DS,0,0,0,0,0,1,0,20260406,20260719
FS,0,0,0,0,0,1,0,20260406,20260719
ES,0,0,0,0,0,1,0,20260406,20260719
AS,0,0,0,0,0,1,0,20260406,20260719
CS,0,0,0,0,0,1,0,20260406,20260719
BDF,0,0,0,0,0,0,1,20260406,20260719
DDF,0,0,0,0,0,0,1,20260406,20260719
FDF,0,0,0,0,0,0,1,20260406,20260719
EDF,0,0,0,0,0,0,1,20260406,20260719
ADF,0,0,0,0,0,0,1,20260406,20260719
CDF,0,0,0,0,0,0,1,20260406,20260719
